               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,             0.02309,             0.01125,           0.0041168,             0.96159,              0.9528,             0.97358,              0.7721,            0.023236,           0.0036929,          0.00058587,           0.0013701,           0.0013701,           0.0013701
                  89,            0.021966,            0.010946,           0.0041792,              0.9677,              0.9531,             0.97434,              0.7764,            0.022736,           0.0036278,          0.00050592,            0.001316,            0.001316,            0.001316
                  90,            0.022014,            0.010903,           0.0039874,             0.95079,             0.95854,             0.97338,             0.78164,            0.022045,           0.0035954,          0.00048756,            0.001266,            0.001266,            0.001266
                  91,            0.021954,            0.010736,           0.0039257,             0.95128,              0.9612,             0.97771,             0.77843,            0.022734,           0.0035901,          0.00046125,           0.0012202,           0.0012202,           0.0012202
                  92,            0.022208,            0.011027,           0.0037706,             0.98112,             0.94659,             0.97969,             0.78495,            0.022116,           0.0035727,          0.00034891,           0.0011787,           0.0011787,           0.0011787
                  93,            0.021732,            0.010771,           0.0037306,             0.96665,             0.95601,             0.97704,             0.78674,            0.021953,           0.0035856,          0.00046233,           0.0011414,           0.0011414,           0.0011414
                  94,            0.022197,            0.010994,           0.0034834,             0.94853,             0.96917,             0.97606,             0.79144,            0.022471,           0.0035958,          0.00053286,           0.0011084,           0.0011084,           0.0011084
                  95,            0.021263,            0.010654,           0.0033874,             0.96006,             0.96329,             0.97529,             0.79574,            0.022136,            0.003545,          0.00056276,           0.0010797,           0.0010797,           0.0010797
                  96,            0.020801,            0.010524,           0.0033686,             0.96309,             0.95805,             0.97598,              0.7922,            0.021941,           0.0035511,          0.00050411,           0.0010554,           0.0010554,           0.0010554
                  97,            0.021854,            0.010746,           0.0038567,             0.95564,             0.97337,             0.97716,             0.79092,            0.022465,           0.0035261,           0.0004788,           0.0010355,           0.0010355,           0.0010355
                  98,            0.021436,            0.010861,           0.0037933,              0.9641,             0.96969,             0.97845,             0.78651,            0.022167,           0.0035612,          0.00040106,             0.00102,             0.00102,             0.00102
                  99,            0.021918,            0.010631,           0.0034474,             0.95206,             0.96539,             0.97259,              0.7846,            0.022964,           0.0035698,          0.00048502,           0.0010089,           0.0010089,           0.0010089
