               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.019828,           0.0097429,           0.0030725,              0.9819,               0.973,             0.97864,             0.80557,            0.021462,           0.0031585,          0.00029136,           0.0016267,           0.0016267,           0.0016267
                  85,            0.020039,           0.0095026,            0.002923,             0.96907,              0.9727,             0.97674,             0.80783,            0.021621,           0.0031233,          0.00027132,           0.0015566,           0.0015566,           0.0015566
                  86,            0.020157,           0.0097407,           0.0028987,             0.98297,             0.96294,             0.97821,             0.80976,            0.021674,           0.0031803,          0.00025684,           0.0014905,           0.0014905,           0.0014905
                  87,            0.020541,           0.0098162,             0.00293,             0.97233,             0.97094,              0.9768,             0.80772,            0.021671,           0.0032574,          0.00023374,           0.0014283,           0.0014283,           0.0014283
                  88,            0.020528,           0.0098684,           0.0033849,              0.9735,             0.97341,             0.97746,             0.81046,            0.021533,            0.003155,          0.00025037,           0.0013701,           0.0013701,           0.0013701
                  89,            0.019768,           0.0096684,           0.0031767,             0.97864,             0.97364,             0.97669,             0.81156,            0.021527,           0.0031819,          0.00030576,            0.001316,            0.001316,            0.001316
                  90,            0.019514,           0.0096257,           0.0031457,             0.98421,             0.96866,             0.97739,               0.815,            0.021253,           0.0031196,          0.00027681,            0.001266,            0.001266,            0.001266
                  91,            0.019557,           0.0094013,            0.003359,              0.9764,             0.97331,             0.97693,             0.81194,            0.021284,           0.0031596,          0.00029597,           0.0012202,           0.0012202,           0.0012202
                  92,            0.019738,           0.0096034,           0.0027119,             0.97703,             0.97817,             0.98217,             0.81886,             0.02114,           0.0031516,          0.00024338,           0.0011787,           0.0011787,           0.0011787
                  93,            0.019286,           0.0094327,           0.0026634,             0.97274,             0.98091,             0.97946,             0.81716,            0.020809,           0.0031442,          0.00029777,           0.0011414,           0.0011414,           0.0011414
                  94,            0.019298,           0.0093834,           0.0026892,             0.96644,             0.98171,             0.98054,             0.82171,            0.020721,           0.0030797,           0.0004248,           0.0011084,           0.0011084,           0.0011084
                  95,            0.019032,           0.0093316,           0.0025373,             0.97841,             0.97378,             0.98144,             0.82473,            0.020481,           0.0030579,          0.00034079,           0.0010797,           0.0010797,           0.0010797
                  96,            0.018888,             0.00917,           0.0027086,             0.97925,             0.96924,             0.98177,             0.81827,            0.020682,           0.0031054,          0.00034578,           0.0010554,           0.0010554,           0.0010554
                  97,            0.019602,           0.0093357,           0.0029921,             0.98843,             0.96657,             0.97992,              0.8246,            0.020383,           0.0030796,          0.00035815,           0.0010355,           0.0010355,           0.0010355
                  98,            0.018852,           0.0094341,            0.002952,             0.97697,             0.96952,             0.97689,             0.81698,            0.020777,           0.0031732,          0.00031251,             0.00102,             0.00102,             0.00102
                  99,            0.018686,           0.0093024,           0.0027938,             0.97522,             0.97034,             0.97837,             0.82144,            0.020699,           0.0030883,          0.00032395,           0.0010089,           0.0010089,           0.0010089
